,Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face
0,31500000,Aakasedhara,2.5,5.0,6,1711.25,12.0,Kathmandu,South West
1,16000000,Aakasedhara,2.5,2.0,6,1112.31,13.0,Kathmandu,West
2,38000000,Aakasedhara,2.5,2.0,4,2395.75,13.0,Kathmandu,West
3,21000000,Aakasedhara,3.0,4.0,9,1369.0,13.0,Kathmandu,West
4,25000000,Aakasedhara,3.0,4.0,6,1369.0,13.0,Kathmandu,West
5,27500000,Aakasedhara,3.0,3.0,5,1711.25,13.0,Kathmandu,West
6,27000000,Aakasedhara,3.0,3.0,3,2053.5,13.0,Kathmandu,West
7,19500000,Aakasedhara,2.5,5.0,7,1026.75,13.0,Kathmandu,West
9,26000000,Aakasedhara,3.0,4.0,4,1060.975,13.0,Kathmandu,West
10,50000000,other,2.5,3.0,5,1711.25,13.0,Kathmandu,West
11,71500000,other,2.5,4.0,4,2738.0,13.0,Kathmandu,West
12,35000000,other,2.5,3.0,5,1369.0,12.0,Kathmandu,East
13,42500000,other,3.5,5.0,6,1129.425,11.0,Kathmandu,South West
14,27500000,other,3.0,5.0,3,1369.0,13.0,Kathmandu,South
15,30000000,other,3.0,3.0,8,1095.2,13.0,Kathmandu,East
16,15500000,other,3.0,3.0,6,1950.825,13.0,Lalitpur,West
17,30000000,other,2.5,3.0,4,1711.25,13.0,Kathmandu,West
18,16900000,other,3.0,3.0,6,1369.0,13.0,Lalitpur,West
19,67000000,Bafal,3.0,4.0,4,2395.75,13.0,Kathmandu,West
20,22500000,Bafal,2.5,3.0,5,1197.875,13.0,Kathmandu,East
21,23000000,Bafal,2.0,2.0,6,1026.75,10.0,Kathmandu,South
23,24500000,Bafal,2.5,3.0,4,1026.75,12.0,Kathmandu,East
24,24500000,Bafal,2.5,3.0,7,1540.125,13.0,Kathmandu,North
25,27500000,Bafal,2.5,4.0,4,1437.45,13.0,Kathmandu,South
26,28500000,Bafal,2.0,3.0,5,1369.0,13.0,Kathmandu,South West
27,31000000,Bafal,3.0,3.0,7,1369.0,10.0,Kathmandu,South
28,31000000,Bafal,2.5,3.0,5,1129.425,15.0,Kathmandu,North East
29,31000000,Bafal,2.5,3.0,6,1369.0,16.0,Kathmandu,South West
30,36500000,Bafal,2.5,4.0,5,1369.0,12.0,Kathmandu,South
31,36500000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,South
32,37000000,Bafal,2.5,3.0,4,1095.2,13.0,Kathmandu,North East
33,37000000,Bafal,2.5,3.0,4,1095.2,14.0,Kathmandu,North East
34,37500000,Bafal,2.0,4.0,7,1369.0,13.0,Kathmandu,East
35,42000000,Bafal,2.5,3.0,4,1369.0,14.0,Kathmandu,South
36,47500000,Bafal,2.5,3.0,6,2395.75,14.0,Kathmandu,West
37,58000000,Bafal,2.5,5.0,6,2887.73,12.0,Kathmandu,East
38,60000000,Bafal,3.5,5.0,4,2840.675,13.0,Kathmandu,East
39,70000000,Bafal,2.5,4.0,3,3148.7,13.0,Kathmandu,East
40,41000000,Bafal,3.0,5.0,5,1219.26,13.0,Kathmandu,West
41,37000000,Bafal,3.0,3.0,4,1262.04,13.0,Kathmandu,West
42,45000000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,West
43,36500000,Bafal,3.0,4.0,5,1711.25,13.0,Kathmandu,West
44,37500000,Bafal,3.0,4.0,7,1369.0,13.0,Kathmandu,West
45,29500000,Bafal,3.0,3.0,6,1369.0,13.0,Kathmandu,West
47,29000000,Bagdol,2.5,4.0,4,1711.25,15.0,Lalitpur,South
48,54000000,Bagdol,2.5,4.0,7,1813.925,20.0,Lalitpur,South East
49,23000000,Bagdol,2.5,2.0,4,1026.75,13.0,Lalitpur,West
50,35000000,Bagdol,3.0,4.0,5,1882.375,13.0,Lalitpur,West
51,23500000,Bagdol,3.0,3.0,3,1026.75,13.0,Lalitpur,West
52,60000000,Bagdol,2.5,2.0,3,2053.5,13.0,Lalitpur,West
53,19500000,Bagdol,2.0,4.0,4,1262.046875,20.0,Lalitpur,West
54,75000000,Balaju,2.5,3.0,5,2738.0,13.0,Kathmandu,West
55,37500000,Balaju,2.5,3.0,5,1197.87,13.0,Kathmandu,West
56,40000000,Balaju,3.0,4.0,7,1711.25,13.0,Kathmandu,West
