Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face,lat,lng
25000000,Yetkha,2.5,3,3,1026.75,13,Kathmandu,West,27.70305,85.30288
37500000,Wasik,3,4,5,1779.7,14,Kathmandu,South,27.69329,85.32227
41000000,Wasik,3,4,5,1779.7,13,Kathmandu,South West,27.69329,85.32227
70000000,Wasik,2.5,4,3,3080.25,15,Kathmandu,North,27.69329,85.32227
51000000,Vinayak Colony,2.5,3,4,1471.675,20,Lalitpur,West,38.89037,-77.03196
51000000,Vinayak Colony,2.5,2,4,1471.675,20,Lalitpur,West,38.89037,-77.03196
35000000,United colony,3,4,5,1882.375,13,Lalitpur,South East,33.8364,-117.91466
35000000,United colony,3,4,5,1882.375,13,Lalitpur,West,33.8364,-117.91466
24500000,Tyanglafat,2.5,4,7,1026.75,10,Kathmandu,North East,27.69329,85.32227
57000000,Tyanglafat,2.5,3,4,2464.2,20,Kathmandu,East,27.69329,85.32227
29500000,Tushal,2.5,4,5,1711.25,15,Kathmandu,East,27.71996,85.35782
32000000,Tribhuwan Park,2.5,4,5,2053.5,20,Kathmandu,East,-37.83572,144.95985
45000000,Town planning,3.5,6,7,1711.25,14,Kathmandu,East,27.68868,85.36499
32500000,Tokha,2.5,3,3,1369,13,Kathmandu,West,27.70629,85.39441
35000000,Tokha,2.5,4,5,1711.25,13,Kathmandu,West,27.70629,85.39441
22500000,Tokha,3,3,5,1026.75,13,Kathmandu,West,27.70629,85.39441
24500000,Tokha,3,3,6,1026.75,13,Kathmandu,West,27.70629,85.39441
26500000,Tokha,3,3,6,1369,13,Kathmandu,West,27.71337,85.30632
25500000,Tokha,3,4,6,1369,13,Kathmandu,West,27.71337,85.30632
25500000,Tokha,3,5,6,1369,13,Kathmandu,West,27.71337,85.30632
27500000,Tokha,2.5,5,7,1026.75,13,Kathmandu,West,27.71337,85.30632
36000000,Tokha,3,4,7,1497.34,13,Kathmandu,West,27.76139,85.32877
28000000,Tokha,3,4,6,1283.43,13,Kathmandu,West,27.76139,85.32877
26000000,Tokha,3,4,3,1112.31,13,Kathmandu,West,27.76139,85.32877
22500000,Tokha,3,3,4,1026.75,13,Kathmandu,West,27.76139,85.32877
30000000,Tokha,2.5,5,9,1197.875,13,Kathmandu,West,27.76139,85.32877
25000000,Tokha,3,2,3,1711.25,13,Kathmandu,West,27.77561,85.33015
67500000,Tokha,2.5,4,3,2395.75,13,Kathmandu,West,38.89037,-77.03196
25000000,Tokha,3,3,4,1369,13,Kathmandu,West,27.77561,85.33015
30000000,Tokha,2.5,4,4,1369,13,Kathmandu,West,27.77561,85.33015
32500000,Tokha,3,3,5,1711.25,13,Kathmandu,West,27.69329,85.32227
33000000,Tokha,3,2,3,1369,13,Kathmandu,West,27.69329,85.32227
37500000,Tokha,3,3,5,1283.43,13,Kathmandu,West,27.69329,85.32227
27500000,Tokha,3,4,6,1197.875,13,Kathmandu,West,27.69329,85.32227
22000000,Tokha,3,4,5,1026.75,13,Kathmandu,West,27.69329,85.32227
27000000,Tokha,3,4,6,1711.25,13,Kathmandu,West,27.69329,85.32227
19500000,Tokha,2.5,3,5,1026.75,13,Kathmandu,West,27.72256,85.34925
14200000,Tokha,2,2,4,1112.3125,13,Kathmandu,West,27.7369,85.31937
17800000,Tokha,3,6,5,1112.3125,12,Kathmandu,South,27.7369,85.31937
19000000,Tokha,2,3,4,2930.515625,12,Kathmandu,East,27.7369,85.31937
21000000,Tokha,3,6,6,1026.75,13,Kathmandu,East,27.7369,85.31937
22000000,Tokha,3,5,5,1112.3125,13,Kathmandu,East,27.7369,85.31937
23000000,Tokha,3,5,6,1369,13,Kathmandu,East,27.7369,85.31937
23500000,Tokha,3,6,7,1283.4375,15,Kathmandu,East,27.7369,85.31937
24000000,Tokha,3,3,5,1026.75,11,Kathmandu,South,27.7369,85.31937
24500000,Tokha,3,3,7,1540.125,10,Kathmandu,South East,27.7369,85.31937
25000000,Tokha,2,3,4,1112.3125,12,Kathmandu,East,27.7369,85.31937
25000000,Tokha,3,6,7,1882.375,18,Kathmandu,West,27.7369,85.31937
26000000,Tokha,2.5,3,6,1369,10,Kathmandu,North East,27.7369,85.31937
26000000,Tokha,3,4,3,1112.3125,13,Kathmandu,South West,27.7369,85.31937
26000000,Tokha,2.5,4,3,1026.75,14,Kathmandu,South West,27.7369,85.31937
26000000,Tokha,2.5,4,5,1500,20,Kathmandu,East,27.7369,85.31937
26500000,Tokha,2.5,3,6,1026.75,13,Kathmandu,West,27.7369,85.31937
28000000,Tokha,2.5,5,5,1471.675,15,Kathmandu,South,27.7369,85.31937
29000000,Tokha,3,5,6,1369,13,Kathmandu,South,27.7369,85.31937
29500000,Tokha,2,3,4,1369,13,Kathmandu,East,27.7369,85.31937
30000000,Tokha,3,5,6,1711.25,14,Kathmandu,North,27.7369,85.31937
33500000,Tokha,3,6,6,1369,14,Kathmandu,South East,27.7369,85.31937
37500000,Tokha,3,4,6,1369,13,Kathmandu,East,27.7369,85.31937
41000000,Tokha,3,4,5,1411.78125,20,Kathmandu,South East,27.7369,85.31937
45000000,Tokha,2.5,3,5,1779.7,12,Kathmandu,North East,27.7369,85.31937
53000000,Tokha,3,4,6,2823.5625,15,Kathmandu,West,27.7369,85.31937
70000000,Tokha,2.5,6,5,2806.45,18,Kathmandu,West,27.7369,85.31937
70000000,Tokha,3,7,5,2909.125,18,Kathmandu,North West,27.7369,85.31937
58000000,Tokha,3,3,4,3422.5,13,Kathmandu,West,27.69625,85.34892
23500000,Tokha,3,4,5,1026.75,13,Kathmandu,West,27.69625,85.34892
80000000,Tokha,3,4,5,3175.4355,13,Kathmandu,West,27.71752,85.3057
29000000,Tokha,3,5,7,1369,13,Kathmandu,West,27.70629,85.39441
57500000,Tokha,2.5,3,5,3422.5,13,Kathmandu,West,27.70629,85.39441
52500000,Tokha,2.5,3,3,2053.5,13,Kathmandu,West,27.69329,85.32227
24000000,Tinthana,3,3,3,1369,13,Kathmandu,West,27.69704,85.3292
20000000,Tinthana,3,4,5,1090.92,13,Kathmandu,West,27.69704,85.3292
35000000,Tinthana,3,4,4,1711.25,13,Kathmandu,West,27.69704,85.3292
16000000,Tinthana,2.5,3,5,1026.75,13,Kathmandu,East,27.68482,85.26743
32500000,Tinthana,3,4,8,1500,16,Kathmandu,East,27.68482,85.26743
24000000,Tikathali,2.5,3,3,3300,13,Lalitpur,West,27.65554,85.36187
24000000,Tikathali,3,4,4,1026.75,13,Lalitpur,West,27.65554,85.36187
22000000,Tikathali,3,3,5,1026.75,13,Lalitpur,West,27.65554,85.36187
22500000,Tikathali,2.5,3,4,1026.75,13,Lalitpur,West,27.65554,85.36187
25000000,Tikathali,2.5,4,6,1369,13,Kathmandu,West,27.69329,85.32227
14500000,Tikathali,2.5,3,4,1026.75,13,Kathmandu,West,27.69329,85.32227
23000000,Tikathali,2.5,2,4,1369,13,Kathmandu,West,27.65554,85.36187
24000000,Tikathali,3,4,5,787.175,13,Kathmandu,West,27.65554,85.36187
19000000,Tikathali,3,3,4,1005.35,13,Kathmandu,West,27.65554,85.36187
24000000,Tikathali,3,4,5,1026.75,13,Kathmandu,West,27.65554,85.36187
23500000,Tikathali,3,4,5,1026.75,13,Kathmandu,West,27.65554,85.36187
23000000,Tikathali,3,2,6,1095.2,13,Kathmandu,West,27.65554,85.36187
18500000,Tikathali,3,3,5,1219.26,13,Kathmandu,West,27.65554,85.36187
24000000,Tikathali,3,4,6,1283.4375,13,Kathmandu,West,27.65554,85.36187
23000000,Tikathali,3,2,6,1369,13,Kathmandu,West,27.65554,85.36187
21800000,Tikathali,3,4,7,1026.75,13,Kathmandu,West,27.65554,85.36187
25500000,Tikathali,3,3,7,1219.26,13,Kathmandu,West,27.65554,85.36187
24000000,Tikathali,3,3,5,1369,13,Kathmandu,West,27.65554,85.36187
22000000,Tikathali,2.5,4,5,1095.2,13,Kathmandu,West,27.65554,85.36187
35000000,Tikathali,2.5,4,5,1369,13,Kathmandu,West,27.65554,85.36187
23000000,Tikathali,2.5,4,4,1129.425,13,Kathmandu,West,27.65554,85.36187
29000000,Tikathali,2.5,4,4,1026.75,13,Kathmandu,West,27.65554,85.36187
29000000,Tikathali,2.5,3,5,1369,13,Kathmandu,West,27.70467,85.32142
37500000,Tikathali,3,4,6,1369,13,Kathmandu,West,38.89037,-77.03196
15000000,Tikathali,2.5,2,5,1133.703125,10,Lalitpur,East,27.65554,85.36187
16500000,Tikathali,3,3,6,1026.75,10,Lalitpur,South,27.65554,85.36187
17000000,Tikathali,2,2,3,1369,13,Lalitpur,West,27.65554,85.36187
18500000,Tikathali,3,3,3,855.625,10,Lalitpur,North East,27.65554,85.36187
18500000,Tikathali,2.5,2,4,1026.75,13,Lalitpur,South,27.65554,85.36187
19500000,Tikathali,2.5,3,5,752.95,13,Lalitpur,West,27.65554,85.36187
19500000,Tikathali,3,3,5,1112.3125,13,Lalitpur,North,27.65554,85.36187
19500000,Tikathali,2,4,5,1561.515625,15,Lalitpur,South East,27.65554,85.36187
19900000,Tikathali,3,4,5,941.1875,13,Lalitpur,East,27.65554,85.36187
21500000,Tikathali,2.5,3,9,787.175,13,Lalitpur,East,27.65554,85.36187
21500000,Tikathali,2.5,4,6,1369,20,Lalitpur,West,27.65554,85.36187
22000000,Tikathali,2.5,4,6,600,12,Lalitpur,South East,27.65554,85.36187
22000000,Tikathali,2.5,5,6,1026.75,13,Lalitpur,South East,27.65554,85.36187
22500000,Tikathali,2.5,3,6,1112.3125,12,Lalitpur,North,27.65554,85.36187
22500000,Tikathali,3,3,6,1197.875,12,Lalitpur,East,27.65554,85.36187
22500000,Tikathali,2.5,4,4,1155.09,13,Lalitpur,South,27.65554,85.36187
23000000,Tikathali,3,3,6,1069.53125,12,Lalitpur,South,27.65554,85.36187
23000000,Tikathali,2.5,4,6,1197.875,12,Lalitpur,South East,27.65554,85.36187
23000000,Tikathali,2.5,3,4,1026.75,13,Lalitpur,South,27.65554,85.36187
23000000,Tikathali,2.5,3,7,1026.75,13,Lalitpur,South,27.65554,85.36187
23000000,Tikathali,2.5,4,4,1026.75,13,Lalitpur,East,27.65554,85.36187
23500000,Tikathali,2.5,4,5,1112.3125,13,Lalitpur,South East,27.65554,85.36187
23500000,Tikathali,2.5,3,7,1112.3125,20,Lalitpur,West,27.65554,85.36187
24100000,Tikathali,2.5,3,7,1026.75,13,Lalitpur,North West,27.65554,85.36187
24500000,Tikathali,2.5,5,6,1197.875,16,Lalitpur,East,27.65554,85.36187
25000000,Tikathali,2.5,3,6,1060.975,13,Lalitpur,North,27.65554,85.36187
25000000,Tikathali,2.5,4,4,1133.7,13,Lalitpur,East,27.65554,85.36187
25000000,Tikathali,2.5,3,6,1112.3125,13,Lalitpur,South West,27.65554,85.36187
25000000,Tikathali,2.5,5,6,1112.3125,13,Lalitpur,South,27.65554,85.36187
25000000,Tikathali,2.5,3,3,1197.875,13,Lalitpur,South West,27.65554,85.36187
25000000,Tikathali,2.5,5,6,1026.75,16,Lalitpur,East,27.65554,85.36187
26000000,Tikathali,2.5,3,7,1197.875,12,Lalitpur,East,27.65554,85.36187
26000000,Tikathali,2.5,3,5,1882.37,12,Lalitpur,West,27.65554,85.36187
27000000,Tikathali,2.5,4,7,1403.225,13,Lalitpur,North West,27.65554,85.36187
29500000,Tikathali,2,5,5,1095.2,13,Lalitpur,East,27.65554,85.36187
35000000,Tikathali,3,5,6,1369,10,Lalitpur,North East,27.65554,85.36187
37500000,Tikathali,2.5,4,5,1283.4375,13,Lalitpur,South East,27.65554,85.36187
27500000,Tikathali,3,4,5,1095.2,13,Kathmandu,West,38.89037,-77.03196
18000000,Tikathali,3,4,5,1197.875,13,Kathmandu,West,38.89037,-77.03196
39500000,Thulo Bharyang,2.5,4,8,1369,13,Kathmandu,West,27.71918,85.28742
17500000,Thulo Bharyang,2.5,4,4,513.375,13,Kathmandu,West,27.71918,85.28742
24000000,Thulo Bharyang,2.5,3,3,1026.75,13,Kathmandu,West,27.71912,85.28751
19900000,Thulo Bharyang,2.5,3,5,855.62,12,Kathmandu,South West,27.72113,85.28307
22000000,Thulo Bharyang,2.5,3,4,1129.425,13,Kathmandu,South East,27.72113,85.28307
22700000,Thulo Bharyang,3,2,5,1454.5625,12,Kathmandu,West,27.72113,85.28307
30000000,Thulo Bharyang,2.5,3,4,1026.75,13,Kathmandu,West,27.72113,85.28307
32500000,Thulo Bharyang,3,4,5,1197.875,13,Kathmandu,South,27.72113,85.28307
39000000,Thulo Bharyang,3,5,5,2395.75,15,Kathmandu,East,27.72113,85.28307
41000000,Thulo Bharyang,3,2,3,1711.25,13,Kathmandu,West,27.71918,85.28742
22500000,Thulo Bharyang,3,3,5,1026.75,13,Kathmandu,West,27.71918,85.28742
33000000,Thulo Bharyang,2.5,5,6,1540.125,13,Kathmandu,West,27.71918,85.28742
23000000,Thimi,3,3,5,1369,20,Bhaktapur,North East,27.6786,85.38566
21000000,Thecho,2,3,3,752.95,20,Lalitpur,South East,27.61723,85.31965
26000000,Thecho,2.5,3,4,1369,10,Lalitpur,South,27.61723,85.31965
27500000,Thecho,3.5,5,7,1813.925,12,Lalitpur,East,27.61723,85.31965
32500000,Thecho,2.5,5,5,1369,13,Lalitpur,North,27.61723,85.31965
21000000,Thecho,3,4,5,1026.75,13,Lalitpur,West,27.66617,85.30975
28000000,Thasikhel,2.5,3,4,855.625,13,Lalitpur,West,27.65858,85.31622
23500000,Thasikhel,2.5,5,6,1882.375,10,Lalitpur,East,27.66354,85.31837
35000000,Thasikhel,2.5,4,3,2121.95,13,Lalitpur,South,27.66354,85.31837
57000000,Thasikhel,2.5,5,8,2053.5,13,Lalitpur,West,27.6646,85.31915
40000000,Thasikhel,2.5,4,9,1283.4375,13,Lalitpur,West,27.672,85.3256
60000000,Thapathali,2.5,2,5,2395.75,13,Kathmandu,West,27.69002,85.31837
21500000,Thapathali,2.5,4,5,1197.875,13,Kathmandu,West,27.69144,85.31848
31000000,Thapathali,3,3,6,1283.43,13,Kathmandu,West,27.69268,85.32115
40100000,Thapathali,2,2,5,1689.859375,14,Kathmandu,East,27.69002,85.31837
44500000,Thapathali,3,3,6,2121.95,12,Kathmandu,South,27.69002,85.31837
60000000,Thapathali,2,4,5,2395.75,14,Kathmandu,East,27.69002,85.31837
45000000,Thapagaun,2.5,4,3,1711.25,13,Kathmandu,West,27.70612,85.31144
36000000,Thapagaun,3,4,7,1347.609375,20,Kathmandu,North,27.70118,85.3693
25000000,Thankot,2.5,3,2,1369,13,Kathmandu,West,27.69704,85.3292
29500000,Thankot,3,3,5,1796.81,13,Kathmandu,West,38.89037,-77.03196
14500000,Thankot,2.5,3,2,1026.75,13,Kathmandu,South East,27.69379,85.21096
16500000,Thankot,2,1,5,1060.975,13,Kathmandu,West,27.69379,85.21096
17500000,Thankot,3,2,5,1369,16,Kathmandu,South,27.69379,85.21096
22000000,Thankot,2.5,3,6,1711.25,10,Kathmandu,West,27.69379,85.21096
26000000,Thankot,2.5,4,5,1369,13,Kathmandu,North East,27.69379,85.21096
27600000,Thankot,3,3,4,1711.25,20,Kathmandu,East,27.69379,85.21096
30000000,Thankot,2.5,3,8,1882.37,10,Kathmandu,South East,27.69379,85.21096
26000000,Thamel,2.5,5,6,1197.875,13,Kathmandu,West,27.71596,85.31186
16000000,Thali,2.5,3,5,752.95,12,Kathmandu,East,27.72721,85.40825
50000000,Thaiba,3,3,4,1882.375,13,Lalitpur,West,27.58653,85.379
10000000,Thaiba,2.5,2,3,1369,13,Lalitpur,West,27.62231,85.35016
24500000,Thaiba,3,3,6,1369,13,Lalitpur,West,27.62231,85.35016
17000000,Thaiba,3,3,4,1069.53125,20,Lalitpur,North,27.62231,85.35016
18000000,Thaiba,2.5,3,4,1129.425,20,Lalitpur,South,27.62231,85.35016
19000000,Thaiba,3,4,4,1390.390625,13,Lalitpur,East,27.62231,85.35016
19000000,Thaiba,2.5,4,4,1454.56,13,Lalitpur,East,27.62231,85.35016
19000000,Thaiba,2.5,2,3,1026.75,20,Lalitpur,South,27.62231,85.35016
20000000,Thaiba,3,2,3,1026.75,20,Lalitpur,South,27.62231,85.35016
24000000,Thaiba,2.5,3,4,1095.2,13,Lalitpur,East,27.62231,85.35016
28500000,Thaiba,3,5,4,1369,20,Lalitpur,South,27.62231,85.35016
48500000,Thaiba,2.5,4,4,2053.5,20,Lalitpur,North East,27.62231,85.35016
50000000,Thaiba,2.5,3,4,1779.7,20,Lalitpur,South West,27.62231,85.35016
50000000,Thaiba,2.5,3,3,2053.5,20,Lalitpur,South,27.62231,85.35016
26500000,Thaiba,2.5,2,3,1369,13,Lalitpur,West,27.66617,85.30975
22500000,Thaiba,3,3,3,941.1875,13,Lalitpur,West,27.66617,85.30975
22500000,Thaiba,3,3,3,684.5,13,Lalitpur,West,27.66617,85.30975
15000000,Thaiba,2.5,3,3,684.5,13,Lalitpur,West,27.58653,85.379
20500000,Thaiba,2.5,3,5,1437.45,13,Lalitpur,West,27.66617,85.30975
77500000,Thado Dhunga,2.5,4,5,3080.25,20,Lalitpur,South West,27.5437,85.36359
65500000,Tenzing Chowk,2.5,4,6,2806.45,12,Kathmandu,South East,27.72856,85.35927
36500000,Teku,3.5,3,8,577.546875,10,Kathmandu,West,27.69635,85.30164
34500000,Taulung,2.5,4,4,2395.75,20,Kathmandu,East,27.77753,85.37368
