Price,Address,Floor,Bathroom,Bedroom,Land,Road,Face
60000000,Thapathali,2.5,2,5,2395.75,13,West
21500000,Thapathali,2.5,4,5,1197.875,13,West
31000000,Thapathali,3,3,6,1283.43,13,West
40100000,Thapathali,2,2,5,1689.859375,14,East
44500000,Thapathali,3,3,6,2121.95,12,South
60000000,Thapathali,2,4,5,2395.75,14,East
19500000,Sundarbasti,3,3,5,1197.875,13,East
26500000,Sundarbasti,3,5,6,1796.8125,12,East
27500000,Sundarbasti,3,4,6,1775.421875,13,South East
31500000,Sundarbasti,2,4,5,1967.9375,14,East
33800000,Sundarbasti,2.5,3,4,1095.2,13,East
39000000,Sundarbasti,2.5,3,5,1711.25,13,North East
23000000,Old Baneshwor,3,3,3,1369,13,West
52500000,Old Baneshwor,2.5,3,3,2224.625,13,West
39000000,Old Baneshwor,3,5,6,1369,13,East
65000000,Old Baneshwor,3,3,5,1779.7,13,West
75000000,Old Baneshwor,3,4,3,2156.175,13,West
55000000,Old Baneshwor,2.5,3,5,1711.25,13,West
23000000,Ochu Height,2.5,3,4,1026.75,13,West
24500000,Ochu Height,2.5,4,5,1095.2,13,South
27000000,Ochu Height,2.5,3,5,1095.2,13,South
33000000,Ochu Height,2.5,4,6,1129.425,16,South
35000000,Ochu Height,2.5,4,6,2053.5,20,West
41000000,Ochu Height,3.5,6,8,1711.25,13,East
45000000,Naya Bazar,2.5,3,5,1454.56,13,West
27500000,Naya Bazar,2.5,3,5,855.62,13,West
75000000,Naya Bazar,2.5,4,5,1711.25,13,West
35000000,Naya Bazar,3,4,3,884.04,20,East
29000000,Naya Naikap,3,5,6,1967.9375,13,West
19500000,Naya Naikap,3,3,3,1369,13,West
21000000,Naya Naikap,3,3,3,1369,13,West
19500000,Naya Naikap,3,2,3,1369,13,West
29000000,Naya Naikap,3.5,4,7,1454.5625,13,South East
35000000,Naya Naikap,3.5,5,6,1711.25,13,South East
35000000,Naya Bazar,3,5,5,1711.25,20,East
40000000,Naya Bazar,3,4,3,1026.75,20,East
16500000,Gurjudhara,2.5,3,4,1069.53,16,East
17000000,Gurjudhara,2,3,6,1454.5625,11,South East
18500000,Gurjudhara,3,3,4,1437.45,10,East
18500000,Gurjudhara,3,3,4,1540.12,10,East
25000000,Gurjudhara,3.5,3,5,1403.225,13,West
29000000,Gurjudhara,2.5,3,5,2053.5,10,South East
25000000,Dallu,3,3,2,1197.875,13,West
50000000,Dallu,3,2,3,1026.75,13,West
29000000,Dallu,3,4,8,1155.09375,20,West
41000000,Dallu,3,3,6,1026.75,16,South
55000000,Dallu,3,3,7,2481.3125,14,South
55000000,Dallu,3,3,3,1711.25,13,West
16000000,Changunarayan,3,3,2,1026.75,14,East
18000000,Changunarayan,3,3,5,1048.140625,13,South East
21000000,Changunarayan,3.5,3,8,1090.92,10,East
31000000,Changunarayan,2.5,4,5,1304.82,10,North
31000000,Changunarayan,2.5,3,4,1129.425,10,North
25000000,Changunarayan,2.5,2,4,3165.81,13,West
14500000,Lamatar,3,3,3,1026.75,13,West
16000000,Lamatar,3,3,3,1026.75,13,West
13800000,Lamatar,2.5,3,5,1026.75,13,West
15500000,Lamatar,2.5,2,3,1369,20,West
17500000,Lamatar,2.5,3,2,1197.87,13,South
21000000,Lamatar,2.5,3,7,1369,13,West
19500000,Lamatar,3,2,3,1197.875,13,West
14800000,Khadka Tole,3,2,4,1112.3125,13,West
20000000,Khadka Tole,3,3,6,1026.75,13,West
27500000,Khadka Tole,3,4,5,1369,13,West
14200000,Khadka Tole,2.5,2,5,1026.75,20,North East
27500000,Khadka Tole,3,3,6,1711.25,13,West
16500000,Khadka Tole,2.5,3,2,1711.25,13,West
18000000,Khadka Tole,2.5,3,4,855.62,13,West
16500000,Godawari,3,3,6,2395.75,13,West
12500000,Godawari,2,1,3,1711.25,16,West
17500000,Godawari,2,3,6,1060.975,11,West
17500000,Godawari,3,4,7,1369,20,East
21000000,Godawari,2,3,6,1540.125,18,South East
55000000,Godawari,2.5,4,4,2144.897812,16,North
25000000,Godawari,2.5,4,2,1754.03,13,West
19000000,Chunikhel,3,3,5,1026.75,13,West
16000000,Chunikhel,2,1,2,1060.975,13,North
19500000,Chunikhel,2.5,3,4,752.95,10,South West
19500000,Chunikhel,2.5,3,4,898.4,10,South West
25000000,Chunikhel,3.5,3,7,1026.75,10,South
28500000,Chunikhel,2.5,5,6,1403.225,13,South
30000000,Chunikhel,3,5,6,1129.425,13,South East
46000000,Chandol,3,3,5,1779.7,13,West
37500000,Chandol,3,3,5,1369,13,West
24500000,Chandol,2,3,4,1197.875,13.124,East
33500000,Chandol,3,5,4,1369,16,East
35000000,Chandol,2,4,5,1369,12,North
36000000,Chandol,2.5,3,7,1711.25,12,North
41500000,Chandol,3,3,7,1796.81,13,West
32000000,Battisputali,3,3,5,1540.12,13,West
50000000,Battisputali,2.5,3,5,1437.45,13,West
60000000,Battisputali,2.5,3,5,2772.225,13,West
87500000,Battisputali,2.5,4,6,2738,13,West
85000000,Battisputali,3,4,5,2738,13,West
33000000,Battisputali,3.5,1,6,1540.125,20,West
43000000,Battisputali,3,6,6,1540.125,15,South
29000000,Bagdol,2.5,4,4,1711.25,15,South
54000000,Bagdol,2.5,4,7,1813.925,20,South East
23000000,Bagdol,2.5,2,4,1026.75,13,West
35000000,Bagdol,3,4,5,1882.375,13,West
23500000,Bagdol,3,3,3,1026.75,13,West
60000000,Bagdol,2.5,2,3,2053.5,13,West
19500000,Bagdol,2,4,4,1262.046875,20,West
22000000,Siddhipur,2.5,3,4,1026.75,20,North
23000000,Siddhipur,3,4,4,1026.75,13,West
25500000,Siddhipur,3,4,5,1026.75,13,West
22000000,Siddhipur,3,3,4,1026.75,13,West
29000000,Siddhipur,3,4,5,1369,13,West
25000000,Siddhipur,2.5,5,7,1369,13,West
19000000,Siddhipur,2.5,4,6,1369,13,West
29500000,Siddhipur,3,5,6,1369,13,West
28500000,Raniban,3,4,6,1197.875,13,West
23500000,Raniban,2.5,3,5,1540.125,10,West
28000000,Raniban,2.5,4,6,1900,20,South
30000000,Raniban,2,3,3,1026.75,13,West
31000000,Raniban,3.5,5,6,1437.45,14,South West
33500000,Raniban,3,3,7,2053.5,14,East
36000000,Raniban,2.5,5,6,1026.75,20,East
47500000,Raniban,3,5,5,1711.25,13,South
79000000,Naxal,3,4,5,3422.5,13,West
52000000,Naxal,2.5,5,6,1369,13,West
87500000,Naxal,3.5,4,4,3336.9375,13,West
55000000,Naxal,2.5,3,3,1369,13,West
77500000,Naxal,3,3,4,3251.375,13,West
60000000,Naxal,2.5,3,5,1711.25,13,West
50000000,Naxal,2.5,5,5,1369,13,West
50000000,Naxal,2.5,3,5,1403.225,13,West
24500000,Koteshwor,3.5,3,8,855.625,13,West
30000000,Koteshwor,3,3,6,1369,15,North
38000000,Koteshwor,3,4,6,1711.25,13,West
41500000,Koteshwor,3.5,4,1,1026.75,10,East
48000000,Koteshwor,3.5,4,5,2738,10,East
60000000,Koteshwor,3.5,4,7,3148.7,20,South East
65000000,Koteshwor,3.5,3,6,3148.7,16,South East
42500000,Koteshwor,2.5,4,6,1454.56,13,West
26000000,Ganesh Chowk,2.5,4,6,1369,14,East
32000000,Ganesh Chowk,2.5,5,5,1437.45,15,South West
32500000,Ganesh Chowk,2.5,5,5,1197.875,14,South West
35000000,Ganesh Chowk,2.5,5,5,1711.25,13,South
35000000,Ganesh Chowk,2.5,4,5,1369,13,East
45000000,Ganesh Chowk,2.5,4,5,1779.7,13,South West
